processid	sampleid	recordID	catalognum	fieldnum	institution_storing	bin_uri	phylum_taxID	phylum_name	class_taxID	class_name	order_taxID	order_name	family_taxID	family_name	subfamily_taxID	subfamily_name	genus_taxID	genus_name	species_taxID	species_name	subspecies_taxID	subspecies_name	identification_provided_by	voucher_type	tissue_type	collectors	collectiondate	lifestage	sex	reproduction	extrainfo	notes	lat	lon	coord_source	coord_accuracy	country	province	region	exactsite	image_ids	image_urls	copyright_licenses	trace_ids	trace_links	run_dates	sequencing_centers	directions	seq_primers	marker_codes
BBDIT1069-11	BIOUG01817-F11	2349437	BIOUG01817-F11	L#11BIOBUS-2326	Centre for Biodiversity Genomics	BOLD:ABW3765	20	Arthropoda	82	Insecta	127	Diptera	523	Muscidae	406805	Azeliinae	6518	Hydrotaea	391599	Hydrotaea ignava	 	 	Valerie Levesque-Beaudin	 	 	Biobus 2011	2011-07-22	A	 	S	Crystal Cove State Park	hand collecting|sunny and hot, overcast	33.563	-117.819	 	 	United States	California	Crystal Cove State Park	dry lightly wooded trail, creek wetland	1542846	http://v3.boldsystems.org/pics/BBDIT/IMG_2354+1331145246.jpg	CreativeCommons - Attribution	3983689|3983594	http://trace.boldsystems.org/traceIO/bold.org/5761135|http://trace.boldsystems.org/traceIO/bold.org/5761040	2012-04-17 13:03:07|2012-04-17 11:19:28	Centre for Biodiversity Genomics|Centre for Biodiversity Genomics	R|F	C_LepFolR|C_LepFolF	COI-5P|COI-5P
BCFOR439-15	BCFORENSIK_0045	5826200	BCFORENSIK_0045	BCFORENSIK_0045	SNSB, Zoologische Staatssammlung Muenchen	BOLD:ABW3765	20	Arthropoda	82	Insecta	127	Diptera	523	Muscidae	406805	Azeliinae	6518	Hydrotaea	391599	Hydrotaea ignava	 	 	Jerome Moriniere	 	 	Jana Podhorna	2014-07-12	adult	 	 	sample from dead piglet	 	49.689	17.126	 	 	Czech Republic	 	Morava, Olomouc	Alluvial forest clearing	2615215	http://v3.boldsystems.org/pics/BCFOR/BCFORENSIK_0045+1423780744.jpg	CreativeCommons - Attribution Non-Commercial Share-Alike	7846595	http://trace.boldsystems.org/traceIO/bold.org/9668346	2015-03-02 11:59:09	SNSB, Zoologische Staatssammlung Muenchen	F	C_LepFolF	COI-5P
BCFOR513-15	BCFORENSIK_512	5947112	BCFORENSIK_512	BCFORENSIK_512	SNSB, Zoologische Staatssammlung Muenchen	BOLD:ABW3765	20	Arthropoda	82	Insecta	127	Diptera	523	Muscidae	406805	Azeliinae	6518	Hydrotaea	391599	Hydrotaea ignava	 	 	Jerome Moriniere	 	 	Jana Podhorna	2014-07-12	adult	 	 	sample from dead piglet	 	49.689	17.126	 	 	Czech Republic	 	Morava, Olomouc	Alluvial forest clearing	2621170	http://v3.boldsystems.org/pics/BCFOR/BCFORENSIK_512+1418048588.jpg	CreativeCommons - Attribution Non-Commercial Share-Alike							
BCFOR514-15	BCFORENSIK_513	5947113	BCFORENSIK_513	BCFORENSIK_513	SNSB, Zoologische Staatssammlung Muenchen	BOLD:ABW3765	20	Arthropoda	82	Insecta	127	Diptera	523	Muscidae	406805	Azeliinae	6518	Hydrotaea	391599	Hydrotaea ignava	 	 	Jerome Moriniere	 	 	Jana Podhorna	2014-07-12	adult	 	 	sample from dead piglet	 	49.689	17.126	 	 	Czech Republic	 	Morava, Olomouc	Alluvial forest clearing	2621171	http://v3.boldsystems.org/pics/BCFOR/BCFORENSIK_513+1418048750.jpg	CreativeCommons - Attribution Non-Commercial Share-Alike							
BCHYM7243-15	BC-ZSM-HYM-23871-B11	5795559	BC-ZSM-HYM-23871-B11	BC-ZSM-HYM-23871-B11	SNSB, Zoologische Staatssammlung Muenchen	BOLD:AAU8361	20	Arthropoda	82	Insecta	125	Hymenoptera	563	Ichneumonidae	79740	Campopleginae	391466	Phobocampe	391477	Phobocampe tempestiva	 	 	Stefan Schmidt	 	 	P. Drozd	2014-05-08	Adult	 	 	 	 	48.69	16.945	 	 	Czech Republic	 	Moravia, South Moravia	obora Soutok, Lanzhot	2603969	http://v3.boldsystems.org/pics/BCHYM/BC-ZSM-HYM-23871-B11+1428240758.jpg	CreativeCommons - Attribution Non-Commercial Share-Alike	7844649|7844239	http://trace.boldsystems.org/traceIO/bold.org/9666400|http://trace.boldsystems.org/traceIO/bold.org/9665990	2015-05-14 12:57:09|2015-05-14 09:56:42	Centre for Biodiversity Genomics|Centre for Biodiversity Genomics	F|R	LepF1|LepR1	COI-5P|COI-5P
CGUKA529-09	UKLB6F01	1006891	 	RAB 197	Centre for Biodiversity Genomics	BOLD:AAA8256	20	Arthropoda	82	Insecta	113	Lepidoptera	525	Geometridae	5182	Sterrhinae	7665	Idaea	98672	Idaea aversata	 	 	 	 	 	RAB 197	2007-06-20	A	 	 	 	 	51.62	0.04	 	 	United Kingdom	England	Essex	Woodford Green	418813	http://v3.boldsystems.org/pics/CGUKA/IMG_0530+1238672592.JPG	CreativeCommons - Attribution	1327567|1327558|1309617|1309523	http://trace.boldsystems.org/traceIO/bold.org/1074774|http://trace.boldsystems.org/traceIO/bold.org/1074765|http://trace.boldsystems.org/traceIO/bold.org/1057338|http://trace.boldsystems.org/traceIO/bold.org/1057244	2009-04-08 04:05:10|2009-04-08 02:34:04|2009-03-25 09:03:28|2009-03-25 07:32:47	Centre for Biodiversity Genomics|Centre for Biodiversity Genomics|Centre for Biodiversity Genomics|Centre for Biodiversity Genomics	R|F|R|F	LepR1|LepF1|LepR1|LepF1	COI-5P|COI-5P|COI-5P|COI-5P
CGUKC378-09	UKLB26C04	1009186	 	SPC 197	Centre for Biodiversity Genomics	BOLD:AAA8256	20	Arthropoda	82	Insecta	113	Lepidoptera	525	Geometridae	5182	Sterrhinae	7665	Idaea	98672	Idaea aversata	 	 	 	 	 	SPC 197	2007-06-23	A	 	 	 	 	50.99	0.94	 	 	United Kingdom	England	Kent	New Romney	420366	http://v3.boldsystems.org/pics/CGUKC/IMG_1160+1238768970.JPG	CreativeCommons - Attribution	1310148|1310054	http://trace.boldsystems.org/traceIO/bold.org/1057856|http://trace.boldsystems.org/traceIO/bold.org/1057763	2009-03-24 13:21:49|2009-03-24 11:50:43	Centre for Biodiversity Genomics|Centre for Biodiversity Genomics	F|R	LepF1|LepR1	COI-5P|COI-5P
EBCCH437-11	BIOUG01006-E09	2020506	BIOUG01006-E09	L#10PROBE-9357	Centre for Biodiversity Genomics	BOLD:AAC3602	20	Arthropoda	82	Insecta	413	Coleoptera	1168	Dytiscidae	55383	Hydroporinae	55400	Hydroporus	212538	Hydroporus lapponum	 	 	Renee Miskie	museum vouchered	 	E.Boyle	2010-08-19	A	 	 	BLFB-#411-3	Sub: Rock with some sand: Veg: n/a: Depth: 101cm	58.77	-93.8566	 	 	Canada	Manitoba	Churchill	Pond #411	1172865	http://v3.boldsystems.org/pics/EBCCH/IMG_2742+1308327072.JPG	CreativeCommons - Attribution							
GBACU1214-12	BC ZSM HYM 14514	2875225	BC ZSM HYM 14514	BC ZSM HYM 14514	SNSB, Zoologische Staatssammlung Muenchen	BOLD:AAK3480	20	Arthropoda	82	Insecta	125	Hymenoptera	427	Colletidae	122314	Hylaeinae	2119	Hylaeus	256645	Hylaeus clypearis	 	 	 	 	 	Schmid-Egger	2011-06-14	A	M	S	 	 	52.21	13.48	 	 	Germany	Brandenburg	 	Zossen	1825275	http://v3.boldsystems.org/pics/GBACU/BC_ZSM_HYM_14514+1345839470.jpg	CreativeCommons - Attribution Non-Commercial Share-Alike	4692826|4692731	http://trace.boldsystems.org/traceIO/bold.org/6540087|http://trace.boldsystems.org/traceIO/bold.org/6539992	2012-12-08 12:41:32|2012-12-08 11:10:34	Centre for Biodiversity Genomics|Centre for Biodiversity Genomics	R|F	LepR1|LepF1	COI-5P|COI-5P
GBACU2110-13	BC ZSM HYM 15410	3098595	BC ZSM HYM 15410	BC ZSM HYM 15410	SNSB, Zoologische Staatssammlung Muenchen	BOLD:AAI8775	20	Arthropoda	82	Insecta	125	Hymenoptera	427	Colletidae	122314	Hylaeinae	2119	Hylaeus	178154	Hylaeus gredleri	 	 	Christian Schmid-Egger	 	 	C. Schmid-Egger	2012-08-12	A	F	S	 	 	51.85	12.03	 	 	Germany	Saxony-Anhalt	 	Aken/Elbe	1899128	http://v3.boldsystems.org/pics/GBACU/_DSC8994+1351875944.jpg	CreativeCommons - Attribution Non-Commercial Share-Alike	4946813|4946718	http://trace.boldsystems.org/traceIO/bold.org/6793411|http://trace.boldsystems.org/traceIO/bold.org/6793316	2013-03-21 14:57:36|2013-03-19 23:17:19	Centre for Biodiversity Genomics|Centre for Biodiversity Genomics	F|R	LepF1|LepR1	COI-5P|COI-5P
